CELSIUS FULL AUDIT REPORT
================================================================================

Total issues: 943

By category:
  DASH: 716
  FR-LINK: 149
  TERM-HU: 44
  TERM-PL: 34

================================================================================
DETAILED ISSUES
================================================================================
[DASH] Nutrition #2 | Email 2CL | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 2CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 2CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 2CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 2CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 2S | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 2S | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 2S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 2S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 3CS | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 3CS | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 3CS | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 3CS | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 3S | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 3S | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 3S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 3S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CL | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CL | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 4CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 4CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 4CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 5CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 5CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 5CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 5CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 5S | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 5S | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 5S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CL | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CL | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 6S | Default: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 6S | fr-FR: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 6S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 6S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 7CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 7CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | Default: subject: contains em-dash "—"
[DASH] Nutrition #2 | Email 7CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | fr-FR: subject: contains em-dash "—"
[DASH] Nutrition #2 | Email 7CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | hu-HU: subject: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | pl-PL: subject: contains en-dash "–"
[DASH] Nutrition #2 | Email 7CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7S | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7S | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 7S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 8CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 8CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 8CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 8CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 8CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 8CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 8CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 8CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 8S | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 8S | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 8S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 8S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 1CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 1CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 1CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 1CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | Default: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 1S | fr-FR: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 1S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 1S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | Default: preheader: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CL | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CL | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 2CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 2S | Default: text_1: contains em-dash "—"
[DASH] Nutrition #3 | Email 2S | fr-FR: text_1: contains em-dash "—"
[DASH] Nutrition #3 | Email 2S | hu-HU: text_1: contains en-dash "–"
[DASH] Nutrition #3 | Email 2S | pl-PL: text_1: contains en-dash "–"
[DASH] Nutrition #3 | Email 3CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 3CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 3CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 3CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | Default: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 3S | fr-FR: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 3S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 3S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 4CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 4CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 4CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 4CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 5CL | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 5CL | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 5CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 5CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5S | Default: text_2: contains en-dash "–"
